,Country,Year,AverageTemperature,AverageTemperatureUncertainty,Continent,ISO 3166-1 alpha-3,EmissionsTotal,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
159,Saint Vincent And The Grenadines,1950,26.458083333333335,0.26416666666666666,North America,VCT,0.003664,0.0,0.003664,0.0,0.0,0.0,,0.05954
160,Samoa,1950,26.274583333333336,0.4098333333333333,Oceania,WSM,0.003664,0.0,0.003664,0.0,0.0,0.0,,0.04166
161,Sao Tome And Principe,1950,25.919833333333333,0.34825,Africa,STP,0.0,,,,,,,0.0
162,Saudi Arabia,1950,25.359166666666667,0.4555833333333333,Asia,SAU,5.140592,0.0,5.140592,0.0,,0.0,,1.663787
163,Senegal,1950,27.817083333333333,0.24116666666666667,Africa,SEN,0.0,,,,,,,0.0
164,Serbia,1950,11.216416666666667,0.36683333333333334,Europe,SRB,7.745712,7.245706,0.270032,0.025942,0.204032,0.0,,1.287158
165,Seychelles,1950,26.50916666666667,0.6255833333333333,Africa,SYC,0.0,,,,,,,0.0
166,Sierra Leone,1950,25.940583333333336,0.30691666666666667,Africa,SLE,0.157552,0.106256,0.051296,0.0,0.0,0.0,,0.078745
167,Singapore,1950,26.560166666666664,0.2703333333333333,Asia,SGP,1.913932,0.757694,1.156238,0.0,0.0,0.0,,1.901192
168,Sint Maarten,1950,26.266416666666668,0.35966666666666663,North America,SXM,0.729008,0.0,0.729008,0.0,0.0,0.0,,500.005475
169,Slovakia,1950,8.382249999999999,0.38358333333333333,Europe,SVK,18.519542,17.454173,0.685278,0.038232,0.341859,0.0,,5.343794
170,Slovenia,1950,10.637916666666667,0.39166666666666666,Europe,SVN,2.196256,1.730085,0.349833,0.009315,0.107023,0.0,,1.519866
171,Solomon Islands,1950,26.655,0.49625,Oceania,SLB,0.0,,,,,,,0.0
172,Somalia,1950,26.569916666666668,0.5458333333333333,Africa,SOM,0.047632,0.0,0.047632,0.0,0.0,0.0,,0.021523
173,South Africa,1950,17.451166666666666,0.3,Africa,ZAF,61.031117,55.17216,4.946697,0.0,0.91226,0.0,,4.678921
174,South Korea,1950,12.339666666666666,0.32175000000000004,Asia,KOR,2.183685,1.678959,0.497469,0.0,0.007256,0.0,,0.108619
175,Spain,1950,14.23925,0.2655,Europe,ESP,33.035422,26.51198,5.276745,0.0,1.246698,0.0,,1.176907
176,Sri Lanka,1950,26.974166666666665,0.263,Asia,LKA,1.626816,0.995185,0.631631,0.0,0.0,0.0,,0.204735
177,Sudan,1950,26.820166666666665,0.3226666666666667,Africa,SDN,0.503832,0.134357,0.369475,0.0,0.0,0.0,,0.081377
178,Suriname,1950,26.283833333333334,0.33466666666666667,South America,SUR,0.212512,0.003664,0.208848,0.0,0.0,0.0,,1.085546
179,Swaziland,1950,19.02725,0.39958333333333335,Africa,SWZ,0.003664,0.003664,0.0,0.0,0.0,0.0,,0.013488
180,Sweden,1950,3.0690000000000004,0.2594166666666667,Europe,SWE,28.655598,17.694858,9.997778,0.0,0.962962,0.0,,4.085131
181,Switzerland,1950,7.730916666666666,0.25525,Europe,CHE,10.232846,6.802819,2.895596,0.0,0.534431,0.0,,2.180617
182,Syria,1950,17.769583333333333,0.39641666666666664,Asia,SYR,0.413762,0.003697,0.377065,0.0,0.033001,0.0,,0.116765
183,Taiwan,1950,22.03775,0.20233333333333334,Asia,TWN,3.783573,3.154093,0.396095,0.069683,0.163701,0.0,,0.496328
184,Tajikistan,1950,3.2042500000000005,0.5481666666666667,Asia,TJK,2.209819,1.210451,0.932788,0.046185,0.020396,0.0,,1.447979
185,Tanzania,1950,22.073666666666668,0.2705,Africa,TZA,0.498304,0.153888,0.344416,0.0,0.0,0.0,,0.065288
186,Thailand,1950,26.086916666666667,0.2659166666666667,Asia,THA,0.955618,0.044137,0.827571,0.0,0.08391,0.0,,0.046817
